Group.1,ideal_point,ideal_point_se
20105,-0.414185484,0.586954258
20106,1.332015917,0.641363355
20109,-0.315380657,0.569147738
20110,0.086631457,0.667953403
20111,-0.140213585,0.581964428
20112,0.179230596,0.579872847
20115,0.069092405,0.555332315
20117,-0.785559107,0.518355508
20118,-1.981816093,0.487116021
20119,-0.667970073,0.489677701
20120,0.167381276,0.668833799
20121,0.070770952,0.581988139
20124,0.347137057,0.523781949
20132,0.119216532,0.592743655
20135,0.929135899,0.482084125
20136,0.698194144,0.528484414
20137,-0.531366004,0.568125562
20141,0.076701312,0.630552774
20143,0.786886828,0.583821223
20147,-0.178990823,0.621468211
20148,-0.221735533,0.539238235
20151,0.12159015,0.582325664
20152,0.195047476,0.562010204
20155,0.195136497,0.579222258
20158,-0.582819376,0.519909601
20164,0.134843544,0.592744474
20165,-0.002572806,0.652132247
20166,-0.714106454,0.555491795
20169,0.373243564,0.568643309
20170,0.45159213,0.595744132
20171,-0.249657131,0.564521734
20175,-0.063295728,0.665953924
20176,-0.294341847,0.569277942
20180,0.662823198,0.552509837
20181,0.346827889,0.549895292
20186,0.257852835,0.543291463
20187,-0.117275447,0.595335921
20190,0.003220169,0.547291674
20191,-0.30720592,0.6063145
20194,0.122229086,0.627273926
20198,0.733486612,0.708543166
22003,0.069157045,0.65041179
22015,-0.066871056,0.580088063
22025,0.52876657,0.506261073
22026,-0.640017735,0.608810061
22027,-0.178042824,0.829146895
22030,-0.058952414,0.598656842
22031,-0.716385129,0.555004775
22032,-0.391025858,0.55922863
22033,0.097277488,0.555103898
22039,0.156422598,0.623603088
22041,-0.377682063,0.669207417
22042,-0.297486573,0.678336767
22043,-0.690407728,0.704553501
22044,-0.621412256,0.651094353
22046,-0.119806422,0.647772661
22060,-0.835387154,0.594989523
22066,-0.60933191,0.643440963
22079,0.395176966,0.573557314
22101,-0.381059603,0.65167817
22102,0.204258808,0.648539397
22124,-0.298903448,0.603948859
22125,0.822190709,0.423687147
22134,0.791318369,0.603733763
22150,-0.311114297,0.702696074
22151,-0.838686721,0.606722574
22152,-0.259145852,0.618541802
22153,-0.024525461,0.650812407
22172,-0.614306709,0.643028399
22180,0.419277521,0.590843745
22181,-0.079763946,0.69943604
22182,0.000257286,0.675267704
22191,-0.491427684,0.610738916
22192,-0.075042789,0.639256939
22193,0.199468744,0.681887558
22201,-0.628303876,0.630087738
22202,-0.86241082,0.615684054
22203,-0.736384769,0.64491626
22204,-0.860816983,0.703523881
22205,-1.107130104,0.611952176
22206,-0.728969644,0.606521426
22207,-0.598493172,0.631203457
22209,0.014402556,0.556567919
22213,-0.507567325,0.572234054
22214,0.602242866,0.25582308
22301,-0.786516995,0.617811471
22302,-0.975549416,0.582831843
22303,-0.678987599,0.665587735
22304,-0.463106485,0.619762907
22305,-0.758585387,0.65262758
22306,-0.312730593,0.558201284
22307,-0.98099037,0.591362423
22308,-0.570904333,0.649226181
22309,0.022406405,0.584676576
22310,0.128325682,0.569876084
22311,-0.634003112,0.618714029
22312,0.352938464,0.641243417
22314,-0.474855481,0.636197379
22315,-0.296163518,0.564968335
22401,-0.632620767,0.629045216
22405,0.312706391,0.604972705
22406,0.211155757,0.531084378
22407,0.375810541,0.596368093
22408,0.160798254,0.540350731
22427,1.14367308,0.758108115
22435,-1.092963906,0.527700087
22443,0.947626918,0.575757792
22448,1.587085791,0.599369056
22454,2.245913281,0.366155628
22460,0.148445174,0.552501361
22469,-0.109175233,0.375523444
22473,-1.196557872,0.897878454
22480,0.674929913,0.461985679
22482,-0.493800804,0.606308746
22485,0.319382968,0.642582122
22488,1.833443028,0.598198866
22503,-0.483243074,0.436376222
22504,-0.740191947,1.037105467
22507,0.978605461,0.413392758
22508,0.655938577,0.599891901
22514,0.286127852,0.681570391
22520,0.7120021,0.585832863
22534,-0.148436083,0.817355124
22539,-0.044015485,0.627224237
22542,1.01000436,0.400492595
22546,0.14437184,0.643429245
22551,-0.436813636,0.503598409
22553,0.261902628,0.658894004
22554,0.24929342,0.554705551
22556,0.235222224,0.576253164
22560,-0.399036702,0.495312003
22567,0.239846216,0.570031173
22572,1.084509775,0.673287467
22576,1.851921163,0.42246119
22578,0.359454171,0.626543743
22580,0.954994068,0.48502255
22601,0.108074952,0.653190614
22602,0.443413716,0.615479889
22603,-0.102882704,0.571547776
22610,0.980661251,0.720125443
22611,-0.486628093,0.534739935
22620,0.278023895,0.601278525
22623,1.302262799,0.552974418
22624,-1.499158594,0.835914805
22625,0.14759327,0.552611122
22630,0.039876873,0.609554645
22637,-0.697357274,0.696907797
22642,0.37272658,0.551887671
22644,0.276717725,0.619593888
22645,-0.789129813,0.516941779
22646,0.241698046,0.446389741
22650,0.782628008,0.579619161
22654,0.423486096,0.668802024
22655,0.576351941,0.650826051
22656,0.353760004,0.492528062
22657,-0.108202772,0.548239739
22660,-1.637935734,0.630678719
22663,1.375700387,0.751492458
22664,0.695872926,0.616869149
22701,0.192624371,0.565663409
22709,-1.799082243,0.660974374
22712,-0.106849941,0.739951026
22713,-1.963263885,0.427000434
22715,0.419353823,0.376194067
22720,-0.700656499,0.855486043
22722,-0.596681208,0.707514579
22724,1.827563353,0.48392542
22726,-0.718773859,0.567330432
22727,-0.190472191,0.661386147
22728,0.709102483,0.913766369
22729,2.151596849,0.431735931
22733,-1.344240634,0.575761052
22734,1.082828001,0.482314122
22735,2.182526839,0.456474931
22737,1.022557098,0.658343484
22738,-1.30103792,0.560398251
22740,-0.109469553,0.856777669
22741,-1.112834065,0.70212735
22742,0.076154262,1.053546529
22747,0.599777637,0.585119198
22801,0.003237452,0.630568717
22802,-0.039791112,0.667368821
22807,-0.359898743,0.432311038
22810,1.33005097,0.573247724
22812,-0.245059116,0.76422216
22815,-0.338679625,0.639954432
22821,0.606907459,0.586964403
22824,0.461150954,0.680847183
22827,0.130454768,0.693991141
22830,0.206198061,0.390077526
22832,0.509692851,0.824994956
22834,-1.255680645,0.50673058
22835,-0.393101006,0.581107707
22840,0.944398245,0.621257527
22841,1.372602254,0.961158268
22842,0.500296405,0.686118305
22843,-0.336169741,0.812975395
22844,0.042710962,0.66865253
22846,2.234368791,0.439050545
22849,0.078356007,0.790122404
22850,1.212495784,0.932036809
22851,0.236707914,0.616724567
22853,0.813770439,0.555948418
22901,-0.340104259,0.571696739
22902,-0.588069988,0.654716637
22903,-0.424125845,0.609331776
22904,-0.323808509,0.686678082
22911,0.337933903,0.555839971
22920,0.474725566,0.719650451
22922,2.118191479,0.445507415
22923,-0.214610078,0.567885464
22931,1.684696856,0.720415851
22932,-0.087797785,0.564194466
22936,-0.232100469,0.645542973
22938,2.069875308,0.482639853
22939,-0.223352747,0.640263249
22940,2.119200557,2.406448011
22942,-0.703491068,0.638379625
22947,-0.053301202,0.906797295
22949,1.041189588,0.78734362
22952,0.768578671,0.57248194
22958,-1.185824335,0.520115758
22959,0.579855367,0.600160805
22960,-0.045251674,0.58402287
22963,0.184406702,0.62822535
22967,-0.154818193,1.007554639
22968,-0.471748725,0.544353458
22971,-1.656133013,0.643467171
22973,-0.134456939,0.478219974
22974,-0.733388191,0.516922806
22976,-0.692307956,1.307246442
22980,0.197033293,0.601094851
22989,1.150525475,0.718121335
23002,-0.003742782,0.664859841
23004,-0.610090376,0.993144989
23005,0.26055101,0.679772578
23009,1.362383718,0.436886332
23011,-1.380445735,0.691360702
23015,-0.121968071,0.387579607
23023,-0.431246413,0.791822595
23024,0.147345406,0.557784083
23027,0.988371575,0.625228971
23030,-0.516097792,0.506251842
23035,1.95081714,0.489794191
23038,0.198564731,0.694161463
23040,0.074957917,0.539359665
23043,-0.144755053,0.750811307
23045,0.000876246,1.392096706
23047,0.810467865,0.700550146
23050,2.296118823,0.409067491
23055,0.082330002,0.582934794
23059,0.397589267,0.553375814
23060,-0.270229147,0.592583788
23061,0.033596556,0.580636514
23062,-0.617003282,0.499023128
23063,-0.744787939,0.587490756
23069,1.922242401,0.588738767
23070,-2.139967476,0.423553673
23071,-0.257965873,0.900247556
23072,-0.385317154,0.64948562
23075,-0.680426045,0.643306353
23076,-0.176451295,1.03755466
23083,-0.41633565,1.004044346
23084,0.246742554,0.513777344
23086,0.27389945,0.574113628
23089,-1.114781584,0.514673636
23092,-1.675010695,0.589914663
23093,0.262868602,0.73649073
23102,0.847920507,0.635371037
23103,0.946659327,0.535066588
23106,-0.219499847,0.415075689
23109,0.344108834,0.771840596
23111,0.290341837,0.632511243
23112,-0.211198885,0.59792099
23113,0.148449647,0.545614071
23114,0.043018444,0.530423063
23116,0.442139174,0.587080921
23117,0.086578273,0.677006045
23120,0.149478997,0.560917453
23123,-0.09232678,0.808852511
23124,0.348019339,1.078539855
23126,-0.920164775,0.844498184
23128,1.808717278,0.544472601
23129,-0.12425316,0.535566148
23130,1.891684157,0.498217694
23138,0.818495613,0.936657605
23139,0.591685568,0.625547477
23140,0.781886072,0.524111235
23141,1.189910406,0.542192532
23146,1.028405808,0.724329252
23148,0.031510801,0.976596561
23149,-0.485819929,0.567182398
23150,0.649177534,0.603610862
23153,0.636788117,0.465799532
23156,0.448893731,0.722653967
23161,-0.161163076,0.400395769
23168,1.096529862,0.623787613
23173,-0.714765153,0.46543141
23175,-0.456676378,0.811377425
23176,0.033746433,0.726621658
23181,-1.067028243,0.765157933
23185,-0.500748169,0.573107108
23187,-0.938371157,0.521732275
23188,0.19701056,0.542016893
23192,0.661533171,0.641941604
23219,-1.360706961,0.704594366
23220,-1.061774502,0.551481475
23221,-1.207656193,0.559933921
23222,-1.023090116,0.658608575
23223,-0.86353709,0.611564061
23224,-0.498376739,0.614572689
23225,-0.399489248,0.610112261
23226,-0.149229366,0.706482834
23227,-0.088028894,0.505996823
23228,0.20704347,0.591265964
23229,-0.006301815,0.518963537
23230,-0.324225621,0.718247828
23231,-0.427765613,0.597746464
23233,-0.255872367,0.615996464
23234,0.195268235,0.538014385
23235,-0.111658456,0.599247446
23236,0.179376948,0.572785498
23237,-0.149777044,0.575365736
23238,-0.146630791,0.515775389
23284,0.327882138,0.389971836
23294,0.005125632,0.609337339
23303,1.184698469,0.509466186
23304,0.735879002,0.863138185
23307,-1.754858284,0.568540386
23308,0.952966112,0.46811878
23310,-0.24245492,0.701626087
23314,0.67651246,0.471256554
23316,0.352560699,0.418291509
23320,0.120507296,0.583966186
23321,-0.209378091,0.578520337
23322,0.452109402,0.668228257
23323,0.18416691,0.559128515
23324,-0.455722664,0.586182484
23325,-0.103392967,0.761540752
23336,0.344886672,0.76050399
23337,0.022083967,0.580228612
23347,-1.310567283,0.548497268
23350,0.508074621,0.564541109
23356,2.185900973,0.434404845
23358,-1.437345731,0.949417964
23359,-1.586163851,0.580508082
23389,-1.090566609,0.936948671
23395,0.621538918,0.397368852
23401,0.015427575,0.500702853
23404,-1.915432411,0.543155588
23405,-0.440118629,0.919935098
23407,-0.648325719,1.311099795
23409,-0.30556438,0.497126708
23413,0.671967463,0.518603553
23415,0.930978339,0.601222442
23416,-0.163458822,0.497698275
23417,0.411550047,0.670715224
23418,-1.888487089,0.525388935
23420,-2.058614421,0.452299224
23421,0.717507147,0.515291339
23422,-1.989680635,0.506651013
23426,1.559778803,0.491564964
23430,0.09541954,0.598726365
23432,1.085369718,0.621397388
23434,0.006324215,0.606322975
23435,0.065670213,0.539821263
23436,0.206330839,1.183077033
23437,0.14942992,0.651581768
23438,1.74820993,0.559244113
23441,1.708964532,0.459078173
23442,-1.736506475,0.679009956
23451,0.095896148,0.607118662
23452,-0.179218946,0.575987263
23453,0.177320348,0.561063569
23454,-0.009254662,0.622069126
23455,0.200559813,0.57896781
23456,0.715662686,0.572765145
23457,-0.554702472,0.700471329
23462,0.025744895,0.571118983
23464,0.444969862,0.607310552
23487,-0.473410187,0.693060929
23502,-0.546679675,0.575860291
23503,-0.346497555,0.55113374
23504,-0.353699338,0.623807626
23505,-0.158234791,0.591711663
23507,-0.13302236,0.705882727
23508,-0.496617361,0.559592449
23509,-0.210306709,0.547570145
23510,-1.856362142,0.552655212
23513,-0.203912183,0.564502554
23517,0.069880143,0.504383269
23518,0.115116886,0.54333169
23523,0.004436548,0.532430581
23601,-0.33447062,0.661322847
23602,0.219942071,0.570710028
23603,0.978874902,0.800861659
23604,-0.876208279,0.699668047
23605,0.323270855,0.589889471
23606,-0.265869541,0.582874886
23607,-0.192051952,0.605679797
23608,-0.338017403,0.58937407
23651,0.761112624,0.460271678
23661,-0.623883743,0.538369103
23662,0.787964944,0.613498042
23663,-0.144284065,0.620406248
23664,0.377557815,0.512665524
23665,-0.308678143,0.76056681
23666,-0.082595136,0.579143359
23668,-1.011361741,0.500691293
23669,-0.137716799,0.668459414
23690,0.096087164,0.523519833
23692,0.450064977,0.730433017
23693,0.106095653,0.581208866
23696,1.234312689,0.671866134
23701,-0.353338543,0.617500799
23702,-0.035273491,0.661142922
23703,-0.218524302,0.62230675
23704,-0.491785835,0.576724514
23707,-0.289546075,0.68075866
23709,1.221398107,0.819465253
23801,-0.700622505,0.458997839
23803,-0.457678216,0.623524844
23805,-0.683226646,0.580213548
23806,-0.60076004,0.447337044
23821,-1.103770679,0.524213453
23824,-0.263537482,0.723316061
23827,0.378966252,0.855121193
23831,0.468137479,0.600164468
23832,-0.110003189,0.589623825
23834,0.47332481,0.584704212
23836,0.072992842,0.692289961
23837,-0.04408074,0.659925814
23838,0.235030755,0.509843817
23839,0.260781868,0.745534792
23840,-1.199394431,0.821068908
23841,-0.103860702,0.54832064
23842,1.011473481,0.479196669
23843,0.643152859,0.528130191
23844,0.325750356,0.496585577
23845,-0.277483394,1.261897381
23846,0.689013374,0.936787115
23847,-0.303316748,0.674502096
23851,0.006499038,0.628267521
23856,-1.19018577,0.934150959
23860,-0.10457449,0.610736239
23866,0.72441007,0.754989534
23867,0.256227491,0.560777806
23868,-0.589160935,0.659036432
23872,0.822442027,0.569773914
23875,-0.108448089,0.640452368
23878,0.740439878,0.478756168
23881,-1.112624899,0.707416697
23882,-1.151241841,0.673649002
23883,-1.365894085,0.549641882
23885,0.367968588,0.83041387
23888,-0.495116499,0.571271244
23889,-0.666421401,1.305250516
23890,-0.278918699,0.598835911
23898,-0.948465254,0.454952383
23899,0.108609627,1.274831174
23901,0.062500736,0.664440874
23917,-0.631793044,0.751773484
23919,0.127588052,0.604757447
23920,0.280648927,0.807221992
23922,-0.955050354,0.344804613
23923,-0.068974505,0.598983438
23924,-0.210591457,0.724912685
23927,-0.711491162,0.609250357
23930,0.067869299,0.593078553
23934,1.177666732,0.492353261
23936,1.281161144,0.493967974
23937,0.179051948,0.713948312
23944,-0.899040855,0.631848144
23947,0.196468947,0.639686298
23950,-0.656648674,0.533331296
23954,-0.545139914,0.6271665
23958,0.943264742,0.791389841
23959,0.14968679,1.182881826
23960,-0.518194219,0.575365438
23963,-0.678880961,0.794983488
23964,-1.138147548,0.684006497
23966,0.40820844,0.290983618
23967,-0.560607127,0.518426065
23970,-0.749047516,0.667020866
23974,0.059495427,0.612104473
24012,0.15791095,0.63542608
24013,-1.0494558,0.484627457
24014,0.310406774,0.597169158
24015,-0.729624223,0.60659971
24016,0.159069941,0.510379907
24017,-0.151154462,0.529423736
24018,0.248866447,0.588861346
24019,0.490382711,0.642174675
24020,-1.479506264,0.584233856
24053,0.444286905,0.605965098
24054,-0.371778254,0.686412983
24055,0.484750899,0.61766933
24058,-1.304951634,0.873292638
24059,-1.359739279,0.836812671
24060,-0.192549246,0.620696729
24061,-1.376425652,0.606549295
24064,0.940257384,0.526053591
24065,0.575638948,0.564108618
24066,0.110395916,0.55925588
24067,-0.293889153,0.586608516
24069,0.064283732,0.567390623
24072,-0.805470023,0.443318265
24073,0.235710934,0.60245611
24076,0.007542373,0.518071999
24077,-0.66815377,0.651215393
24078,1.113307896,0.67423346
24079,1.018016379,0.593990844
24083,0.070462558,0.5032837
24084,0.560124758,0.548468043
24085,1.338048801,0.629630818
24087,-0.46703608,0.766772863
24088,0.038712138,0.903379965
24089,0.617138636,0.545426761
24090,0.217212573,0.88129542
24091,-0.270815129,0.720686214
24092,-0.665708325,0.545459542
24093,0.868898634,0.40065875
24095,0.707663228,0.409956558
24101,-0.014887157,0.667762328
24102,-0.064479002,0.655721764
24104,1.247276268,0.748714496
24105,1.834431561,0.469341774
24112,-0.077668558,0.567883103
24120,-0.142736972,0.623467208
24121,0.618165403,0.552565563
24122,0.751721213,0.515813263
24124,0.530327491,0.588227014
24127,0.309783177,0.651979829
24128,0.075685167,0.628740826
24133,0.989911842,0.415764631
24134,-0.600406166,0.817093014
24136,-0.437904321,0.616642547
24137,0.368171315,0.509208956
24138,0.151028922,0.721751715
24141,0.174771575,0.656240934
24147,2.141958538,0.407597551
24148,-0.214610435,0.644861892
24149,0.146637647,0.580222106
24150,1.348917654,0.710310634
24151,0.54431272,0.685399081
24153,0.318246399,0.604493269
24161,0.920876479,0.551319638
24165,0.124554496,0.612568405
24168,1.154511948,0.617122438
24171,0.387952957,0.502016201
24174,-1.077434723,0.542820139
24175,0.933598747,0.537413103
24176,2.097626086,0.499347936
24179,0.371909093,0.613265357
24184,1.186215759,0.443986539
24185,-0.487944837,0.425912063
24201,-0.167826362,0.673438307
24202,0.761373742,0.500959253
24210,0.743506277,0.614508539
24211,-0.202625272,0.65705227
24215,-0.1180364,0.498588626
24216,-0.463180035,0.811084276
24217,0.67036926,0.889113931
24219,0.085448382,0.680345506
24224,0.381829692,0.569685563
24225,0.124252418,0.858837676
24226,0.633122423,1.058076129
24228,-0.688966439,0.694975484
24230,0.917442005,0.641309997
24236,0.17182714,0.804889095
24237,-0.946266137,0.76792898
24243,-0.027017858,0.696138354
24244,0.106924806,0.704550015
24245,2.117004719,0.440590368
24248,1.391343342,0.756548881
24250,1.611124913,0.415171448
24251,-0.067431358,0.645539619
24256,-0.857491035,0.761826677
24258,2.242180095,0.410618851
24260,-0.130736693,0.83987771
24263,-0.471778857,0.588257449
24266,-0.012807609,0.623200295
24270,0.163273566,0.481221015
24271,0.885863243,0.678097507
24273,0.050531152,0.683699417
24277,-0.434358825,0.674324045
24279,-1.229198063,0.751287751
24280,0.997567296,0.506575364
24283,0.74124749,0.61000971
24290,0.104295733,0.559446485
24292,-1.251462937,0.729393882
24293,-0.087443114,0.598448233
24301,-0.390327687,0.66227553
24311,-0.472880172,1.02547559
24312,1.28749327,0.714115159
24313,0.199315269,0.401400425
24314,1.691969543,0.484818645
24315,1.056173408,0.682670363
24317,-0.399059186,0.628423843
24318,1.558232853,0.813238871
24319,-0.166285085,0.708707101
24324,0.589691841,0.48253941
24326,-0.512262733,0.762738157
24328,-0.205189098,0.505001299
24330,0.642276076,0.937729011
24333,0.044793981,0.64660582
24340,0.554015379,0.521159667
24343,-0.217328013,0.61857853
24347,0.762308386,0.692567951
24348,0.166682709,0.639565918
24350,-0.190282063,0.409780477
24351,1.234452151,0.48991478
24352,-0.373356942,0.284551637
24354,0.529873543,0.62207654
24360,-0.005660529,0.687138929
24361,0.403132297,0.787241782
24363,-0.658347482,0.579388272
24368,-0.219751929,0.676184566
24370,0.172250633,0.668798529
24374,1.224130579,0.698739559
24375,-0.179393554,0.550108198
24377,2.128543938,0.480194542
24380,0.423739344,0.419607396
24381,-0.226591609,0.760664096
24382,0.31669233,0.679466302
24401,0.075798064,0.658851589
24412,2.039942638,0.612586133
24416,0.75002744,0.668947942
24421,0.181584847,0.673499456
24422,-0.805925336,0.689786616
24426,0.772288623,0.576143032
24430,-0.587021161,0.461795789
24431,0.258244863,0.446527238
24433,1.473993772,0.438979427
24437,1.104042771,0.829994205
24439,-1.168725383,0.862801433
24440,0.415746408,0.729924908
24441,0.511552354,0.644280455
24445,-0.290172818,0.848064701
24448,1.166666961,0.760284121
24450,-0.436875054,0.618115373
24457,0.684515515,0.454959556
24459,-0.322890367,1.032909884
24460,-0.030425736,0.74262862
24465,-0.900900598,1.029782294
24467,1.921905922,0.62115684
24471,0.826446441,0.712735152
24472,-1.46465018,0.75678845
24473,1.758023444,0.641679972
24477,0.183832728,0.73241908
24479,-0.678391111,0.614892406
24482,-0.235465381,0.669972824
24486,0.696608187,0.667909646
24487,0.486114716,1.261200245
24501,-0.022911203,0.629519906
24502,0.560281025,0.640250875
24503,0.389589995,0.67641077
24504,0.070920839,0.697263412
24517,1.093207252,0.714848778
24520,-0.584058898,0.445611603
24521,-0.255405575,0.621135682
24522,0.479625839,0.578489376
24523,-0.111454811,0.666098646
24526,1.430739081,0.857715223
24527,0.574929517,0.490549393
24528,0.117203642,0.873235987
24529,0.116771545,0.485119158
24531,0.500615792,0.860952721
24534,-0.486723944,0.714043843
24536,-1.430889461,0.924931399
24538,1.274627746,0.758947375
24539,1.21375189,0.78034378
24540,0.403106978,0.692514348
24541,-0.131893344,0.649467893
24549,0.329279719,0.894321759
24550,0.443214049,0.501745155
24551,0.70619683,0.624145473
24553,0.648779218,0.809750112
24554,1.498080172,0.593904912
24555,-1.037074326,0.820789885
24556,0.198269151,0.549035919
24557,0.554848164,0.624514523
